,Event,Wedding,Performance or concert,Dancing people,Funeral,Traffic accident,Fire,Police or army (armed forces),Procession,Marketplace,Hunting scene,Fishing,Portrait,Studio portrait,Double portrait,Group portrait,Aerial photograph,Interior view,Classroom (interior),Factory (interior),Religious structure (interior),Healthcare facility (interior),Built environment,Street or road,Square (open space),Bridge,Park (recreation area),Burial ground,Swimming pool,Sports field,Tennis court,Foutball pitch,Military base,Fort,Military field base,Religious structure,Mosque,Church,Temple,Temple Reliefs,House or building (other),School building,Store,Healthcare facility,Stilt house,Palace,Ruin,Industry and transport,Port or shipyard,Airport,Railroad,Factory or power station,Mine (industrial complex),Agricultural land,Husbandry,Plantation,Rice field,Natural landscape,Mountain,Rocks (landform),Cave,Coast (coastline),Volcano,Volcanic eruption,Wood (plant community),Grassland (plant community),Valley (landform),Expanse of water,Bodies of water (sea or lake),Bay,River,Canal,Waterfall,Flood
419831.jpg,-18.341,-10.063,-17.803,-15.841,-10.582,-9.78,-12.125,-9.694,-13.424,-19.698,-13.056,-12.935,-20.273,-13.513,-10.416,-16.423,-15.01,-11.292,-18.046,-14.774,-20.647,-16.971,-14.643,-12.297,-15.595,-14.689,-11.925,-12.635,-12.675,-13.533,-14.475,-13.735,-14.356,-13.484,-16.155,-15.77,-15.995,-16.785,-15.327,-16.522,-11.275,-14.957,-17.937,-14.266,-15.256,-16.65,-20.958,-5.426,-20.595,-15.746,-13.388,-18.24,-21.065,-15.874,-9.19,-11.429,-15.325,-17.239,-13.764,-16.347,-17.947,-15.961,-13.606,-14.567,-14.656,-18.559,-16.579,-14.81,-15.046,-18.83,-13.12,-13.989,-11.325,-10.596
419845.jpg,-13.045,-12.208,-14.877,-13.283,-10.647,-12.127,-12.381,-9.976,-10.805,-15.606,-15.825,-14.568,-20.813,-17.64,-13.035,-14.091,-12.489,-11.751,-18.391,-16.261,-19.081,-20.165,-16.34,-18.413,-14.988,-13.853,-14.994,-15.289,-13.902,-13.9,-16.199,-14.208,-10.575,-12.699,-13.338,-16.502,-14.979,-15.417,-14.117,-15.221,-13.058,-16.277,-17.996,-17.41,-15.951,-13.12,-17.287,-7.705,-16.94,-5.185,-13.704,-18.743,-23.067,-17.879,-11.997,-12.634,-15.843,-20.168,-15.336,-17.442,-19.286,-14.97,-14.37,-15.936,-17.84,-20.738,-18.975,-14.145,-15.428,-17.028,-15.768,-12.914,-13.684,-11.836
419877.jpg,-9.495,-7.582,-13.924,-11.296,-12.494,-15.004,-13.507,-11.335,-11.263,-17.762,-16.359,-15.308,-24.847,-14.84,-14.245,-9.122,-20.926,-10.082,-13.355,-13.237,-15.898,-13.794,-14.41,-19.992,-14.725,-14.63,-15.025,-18.743,-13.353,-16.548,-15.575,-14.73,-16.127,-15.13,-19.992,-14.469,-15.285,-16.952,-15.349,-17.339,-12.558,-15.489,-18.492,-15.028,-15.476,-10.885,-25.182,-12.832,-21.302,-14.943,-14.991,-19.775,-23.214,-21.3,-11.362,-10.967,-17.885,-23.232,-18.22,-20.2,-20.461,-16.986,-14.394,-16.638,-17.954,-21.05,-20.7,-16.871,-15.876,-19.478,-15.39,-16.137,-16.02,-15.349
419885.jpg,-15.42,-13.962,-17.072,-16.303,-13.228,-12.126,-10.059,-13.141,-13.104,-14.32,-15.257,-13.956,-28.099,-19.458,-19.132,-21.489,-11.317,-8.946,-13.096,-9.915,-13.104,-15.13,-6.728,-13.532,-10.847,-9.663,-9.938,-9.29,-8.355,-9.534,-11.589,-13.326,-10.456,-10.477,-12.678,-8.755,-9.469,-11.528,-10.032,-12.763,-3.608,-5.768,-12.151,-12.366,-10.526,-11.767,-12.339,-5.268,-13.82,-12.873,-10.708,-10.679,-11.509,-14.313,-10.946,-9.54,-15.558,-15.267,-12.146,-14.598,-17.279,-13.846,-12.729,-13.755,-10.65,-19.498,-15.551,-13.021,-14.385,-15.702,-12.984,-14.061,-13.772,-9.153
419965.jpg,-19.739,-8.001,-16.384,-12.78,-16.421,-19.259,-13.083,-17.555,-10.483,-21.422,-15.204,-18.639,-12.338,-8.404,-11.585,-19.102,-18.105,-14.106,-20.8,-22.327,-18.129,-26.237,-18.88,-19.783,-18.761,-18.038,-18.78,-18.716,-16.912,-18.979,-19.874,-17.867,-24.767,-18.872,-27.051,-14.37,-16.262,-19.356,-13.261,-13.112,-13.886,-18.925,-23.312,-25.1,-14.607,-15.918,-20.668,-17.311,-26.972,-22.961,-19.784,-21.908,-27.413,-18.476,-14.776,-13.308,-13.494,-18.303,-14.832,-17.608,-18.317,-17.621,-13.886,-15.862,-15.0,-20.336,-18.028,-15.57,-15.288,-21.039,-14.457,-19.305,-14.924,-15.717
419982.jpg,-18.106,-11.215,-14.32,-9.351,-15.675,-18.626,-13.657,-16.285,-10.428,-18.332,-17.582,-18.574,-12.841,-9.395,-5.664,-14.26,-18.179,-14.989,-19.243,-22.771,-17.838,-24.801,-17.584,-19.927,-18.677,-17.714,-18.231,-17.935,-15.835,-19.001,-19.293,-18.537,-24.477,-18.316,-27.411,-14.315,-16.228,-18.909,-12.09,-11.72,-14.72,-18.681,-21.425,-23.357,-15.674,-16.148,-19.883,-16.761,-25.826,-21.726,-19.863,-22.685,-29.384,-18.942,-14.899,-13.494,-13.946,-20.415,-16.625,-18.932,-19.055,-16.687,-14.387,-16.601,-18.029,-20.419,-19.279,-16.346,-14.635,-19.88,-14.761,-18.876,-16.156,-16.45
420093.jpg,-20.054,-11.845,-19.593,-16.087,-15.286,-18.443,-12.557,-14.272,-15.875,-22.053,-13.087,-15.017,-24.48,-15.667,-12.197,-15.5,-21.528,-9.706,-16.02,-18.162,-19.723,-18.277,-14.141,-19.999,-13.001,-16.821,-12.254,-13.784,-11.167,-14.616,-12.35,-14.249,-18.098,-14.928,-20.946,-17.92,-17.769,-20.685,-16.272,-16.468,-8.809,-15.049,-20.604,-18.155,-12.946,-13.934,-24.565,-14.134,-23.542,-21.832,-16.561,-20.79,-25.951,-18.205,-10.625,-7.151,-15.132,-16.912,-17.988,-17.094,-20.022,-16.117,-15.2,-16.217,-14.852,-20.636,-19.979,-13.884,-14.352,-20.155,-15.356,-16.254,-14.612,-14.789
420102.jpg,-13.463,-11.435,-15.972,-14.353,-10.796,-12.757,-13.594,-9.231,-11.24,-16.556,-16.451,-16.669,-23.344,-12.108,-12.915,-9.191,-17.768,-8.737,-6.581,-9.432,-9.238,-9.356,-12.133,-17.208,-11.718,-13.44,-13.491,-12.205,-13.875,-13.831,-13.545,-12.654,-13.377,-12.211,-17.823,-9.184,-11.669,-11.731,-11.906,-12.599,-10.644,-9.151,-15.714,-10.136,-14.605,-11.869,-22.061,-11.289,-17.758,-15.191,-11.554,-17.071,-19.804,-19.826,-10.795,-10.033,-17.045,-21.172,-19.204,-19.581,-19.9,-17.572,-17.021,-17.91,-17.818,-22.298,-20.922,-16.298,-15.618,-19.274,-15.576,-16.531,-17.955,-13.38
420105.jpg,-22.175,-12.549,-20.797,-16.845,-17.956,-18.13,-16.343,-19.147,-15.704,-22.829,-19.638,-18.637,-15.547,-10.516,-7.999,-18.102,-23.376,-12.975,-17.944,-20.055,-19.486,-18.663,-17.431,-19.789,-17.691,-19.17,-16.253,-20.236,-15.479,-19.739,-17.419,-18.487,-25.222,-20.415,-28.334,-19.105,-19.493,-20.569,-19.706,-18.938,-13.139,-19.189,-21.541,-19.719,-14.847,-20.894,-27.576,-16.29,-29.507,-24.272,-19.394,-24.647,-33.247,-21.529,-13.373,-13.751,-17.834,-19.102,-20.047,-20.051,-22.611,-19.722,-17.807,-18.856,-17.354,-22.487,-21.447,-18.327,-17.753,-24.296,-19.463,-21.571,-16.565,-16.619
420165.jpg,-18.57,-13.277,-16.382,-16.317,-15.062,-18.145,-14.19,-20.17,-17.797,-22.654,-12.476,-18.719,-24.216,-11.812,-12.158,-17.748,-20.416,-4.422,-9.128,-11.724,-14.131,-12.441,-13.901,-18.672,-9.275,-17.78,-13.891,-16.334,-11.859,-16.763,-15.849,-17.32,-22.851,-18.61,-26.484,-21.034,-18.987,-20.457,-17.943,-16.207,-8.843,-15.091,-16.851,-19.289,-9.992,-15.661,-23.037,-16.049,-25.125,-20.124,-16.33,-22.85,-26.638,-20.857,-14.932,-13.359,-17.388,-15.345,-17.096,-19.021,-21.183,-16.055,-19.359,-19.25,-15.477,-20.878,-19.301,-13.89,-14.686,-20.382,-16.526,-19.644,-16.314,-14.749
420191.jpg,-16.609,-10.462,-15.911,-13.947,-11.961,-13.98,-13.87,-13.621,-14.781,-19.295,-13.338,-17.398,-12.346,-6.004,-4.208,-6.331,-15.153,-12.922,-17.147,-15.224,-15.619,-20.594,-13.932,-15.869,-14.716,-9.561,-12.327,-15.005,-16.046,-16.153,-16.701,-13.649,-17.145,-15.475,-19.593,-13.074,-14.687,-15.778,-14.606,-16.14,-10.559,-15.817,-19.41,-19.875,-12.965,-13.872,-20.111,-10.047,-19.703,-15.97,-11.519,-17.077,-20.702,-18.818,-11.907,-15.476,-17.518,-17.433,-14.045,-16.892,-17.16,-18.691,-14.127,-16.138,-16.815,-21.605,-20.467,-15.229,-16.21,-21.579,-14.795,-16.812,-13.585,-13.418
420355.jpg,-16.859,-10.832,-11.115,-5.716,-13.755,-17.75,-11.014,-15.772,-7.96,-18.532,-10.845,-16.774,-17.618,-10.67,-12.354,-10.246,-20.729,-12.055,-15.399,-17.112,-13.402,-21.962,-15.28,-19.363,-14.482,-17.143,-15.686,-13.772,-14.879,-15.138,-17.616,-14.635,-19.691,-14.976,-21.348,-12.506,-14.443,-18.128,-12.709,-12.293,-11.985,-15.737,-19.8,-21.845,-10.458,-13.433,-19.273,-15.536,-25.042,-20.037,-17.453,-21.39,-24.428,-16.385,-10.977,-9.814,-12.45,-16.264,-14.525,-16.821,-15.229,-16.224,-12.441,-14.213,-12.85,-16.872,-17.389,-15.468,-14.294,-19.765,-14.864,-19.689,-14.464,-13.402
420500.jpg,-19.605,-12.856,-17.506,-12.869,-12.698,-15.48,-12.908,-15.661,-4.008,-14.426,-16.598,-15.239,-17.65,-17.283,-14.899,-15.343,-16.827,-16.988,-21.858,-23.201,-19.509,-25.725,-15.014,-14.006,-17.812,-15.847,-16.918,-15.226,-15.326,-16.096,-19.979,-17.932,-21.811,-16.741,-23.852,-13.294,-15.709,-17.98,-11.712,-11.841,-13.604,-18.521,-18.14,-22.246,-14.205,-17.44,-21.395,-12.143,-24.338,-20.866,-16.341,-20.928,-25.375,-14.267,-10.944,-9.397,-11.447,-17.924,-14.099,-14.756,-19.394,-14.163,-13.029,-14.402,-15.941,-19.073,-16.701,-15.389,-15.138,-18.428,-13.045,-14.632,-13.851,-13.156
420629.jpg,-12.741,-7.258,-12.79,-12.119,-8.085,-14.745,-14.736,-14.023,-7.549,-17.904,-13.592,-15.221,-16.781,-14.288,-9.818,-9.13,-16.208,-12.461,-18.519,-16.865,-17.051,-19.463,-15.149,-19.116,-15.192,-13.498,-10.746,-12.77,-12.378,-13.456,-11.81,-14.07,-16.491,-13.109,-19.396,-15.351,-14.716,-15.924,-14.706,-16.314,-12.826,-17.855,-17.836,-19.375,-13.428,-10.195,-23.462,-13.173,-20.485,-15.379,-15.144,-20.394,-23.126,-16.939,-9.537,-8.79,-15.51,-19.165,-15.428,-20.875,-19.623,-15.866,-15.425,-15.85,-14.893,-18.63,-19.457,-12.968,-15.407,-16.988,-14.694,-15.491,-13.291,-13.556
420846.jpg,-19.418,-13.907,-17.613,-17.954,-15.699,-15.934,-14.564,-13.745,-18.16,-19.678,-13.813,-14.823,-19.669,-9.46,-13.73,-23.031,-19.952,-8.963,-10.416,-12.343,-16.695,-16.142,-14.428,-18.821,-14.851,-16.748,-16.702,-17.406,-15.35,-15.651,-15.662,-13.093,-18.936,-17.757,-21.209,-16.405,-17.233,-17.338,-16.391,-16.598,-11.99,-13.794,-17.028,-18.557,-16.347,-18.952,-24.847,-13.039,-21.862,-19.479,-14.628,-18.404,-22.496,-20.634,-11.823,-13.396,-18.87,-20.539,-18.495,-18.368,-18.881,-17.315,-18.261,-18.032,-16.267,-22.07,-20.179,-17.502,-16.258,-24.047,-17.801,-18.921,-16.376,-15.612
420852.jpg,-19.897,-13.538,-19.432,-16.326,-12.232,-16.482,-13.567,-14.288,-13.841,-20.478,-13.582,-16.516,-11.317,-10.704,-5.619,-10.312,-16.519,-14.63,-18.714,-21.893,-23.873,-26.168,-15.428,-15.115,-17.856,-16.494,-14.009,-13.085,-16.411,-15.045,-17.014,-12.754,-20.496,-16.429,-22.6,-18.725,-19.607,-18.175,-18.215,-19.465,-12.774,-16.184,-19.328,-23.164,-14.966,-19.322,-20.261,-15.389,-23.861,-22.25,-13.061,-20.881,-27.347,-16.122,-12.243,-12.696,-14.608,-16.406,-15.195,-16.121,-17.53,-16.996,-15.682,-17.689,-12.891,-16.362,-19.119,-16.207,-15.137,-22.307,-14.835,-18.039,-14.653,-14.199
